annual survey of hours and earnings  - resident analysis,,,,,,,,,,,,,,,,,,,,,,,
Ashford,E07000105,496.6,7.2,512.5,4.7,507.4,5.9,549.0,6.9,544.3,4.9,559.3,5.9,580.1,7.4,607.5,7.0,571.9,8.6,597.9,7.7,668.4,7.5
Canterbury,E07000106,545.6,8.5,577.5,7.4,573.1,7.1,582.0,7.3,558.4,6.5,555.8,7.3,582.5,9.5,626.5,7.1,598.4,9.0,577.6,6.9,658.8,7.4
Dartford,E07000107,568.0,6.6,537.8,6.2,562.2,5.5,575.7,6.0,618.1,5.2,642.3,5.2,633.6,5.2,648.1,5.4,687.0,8.1,693.0,8.1,732.1,7.9
Dover,E07000108,507.9,6.9,501.8,9.0,532.9,7.7,497.7,6.9,501.4,6.6,523.0,6.5,574.6,6.4,594.5,8.9,610.6,11.0,642.5,7.0,670.3,5.7
Gravesham,E07000109,552.5,7.3,525.8,7.1,536.6,6.4,546.2,5.9,545.9,7.1,550.0,6.9,577.2,7.6,621.1,7.3,551.1,7.8,612.2,9.9,660.9,6.6
Maidstone,E07000110,542.9,4.5,500.9,5.4,518.5,4.6,558.2,4.5,545.1,4.5,562.9,6.5,589.2,5.2,596.6,4.5,579.0,5.4,629.1,6.2,615.1,6.9
Sevenoaks,E07000111,582.9,7.4,597.7,9.1,628.6,7.1,592.4,7.4,586.0,6.2,613.3,6.3,585.3,7.8,703.7,7.5,716.3,10.0,713.0,8.6,731.9,10.0
Folkestone and Hythe,E07000112,474.9,8.1,500.5,9.3,481.6,8.6,540.4,7.0,490.5,9.8,520.0,9.6,515.5,7.3,561.3,7.6,552.6,7.5,607.8,6.4,684.3,8.2
Swale,E07000113,536.6,6.1,538.7,7.2,538.5,5.9,537.8,5.7,546.2,5.7,568.9,5.4,598.3,4.5,582.3,4.8,574.3,6.9,583.3,7.0,663.3,6.5
Thanet,E07000114,414.6,7.6,445.8,7.9,450.4,6.1,438.0,7.2,462.3,6.8,480.2,7.3,522.8,6.7,509.1,7.0,522.5,8.2,556.6,5.9,591.8,5.2
Tonbridge and Malling,E07000115,600.2,5.1,600.0,4.9,573.4,6.7,636.2,8.6,654.4,6.5,619.9,7.7,657.6,7.6,670.1,7.1,689.9,8.4,701.5,6.4,703.6,6.1
Tunbridge Wells,E07000116,613.3,6.9,645.0,8.3,640.3,8.2,562.1,9.7,554.9,7.4,583.4,7.7,664.1,7.7,688.5,7.7,690.1,13.0,698.5,9.8,676.7,11.0
Cherwell,E07000177,536.1,6.2,518.1,5.6,535.6,4.4,558.9,4.8,583.6,4.2,598.7,4.0,583.6,4.7,616.6,6.6,603.4,6.0,647.6,5.1,689.9,5.1
Oxford,E07000178,517.9,5.1,533.1,4.2,571.8,3.8,556.8,3.9,589.1,3.6,631.6,4.5,623.8,5.5,636.3,4.5,663.1,5.9,667.3,6.6,681.7,5.6
South Oxfordshire,E07000179,614.1,6.8,599.2,8.3,623.7,7.3,618.4,6.6,633.0,7.1,691.3,6.8,698.7,6.4,725.1,6.2,707.0,8.2,727.4,6.6,752.5,8.6
Vale of White Horse,E07000180,594.5,5.5,593.5,5.4,613.4,5.6,603.7,6.0,629.9,5.7,639.2,6.8,676.7,6.7,674.6,6.1,687.7,7.9,688.4,7.4,726.0,5.3
West Oxfordshire,E07000181,546.1,6.7,560.3,6.5,574.2,4.9,565.8,5.5,575.3,7.4,631.0,5.5,653.8,6.2,636.3,6.4,626.0,7.7,628.6,7.8,676.2,7.0
Elmbridge,E07000207,717.9,9.3,694.7,8.9,728.3,6.3,743.6,5.5,716.8,5.2,731.3,7.4,789.5,5.3,822.1,6.4,734.3,11.0,834.6,7.9,810.0,8.4
Epsom and Ewell,E07000208,686.1,7.6,668.3,7.2,634.4,8.2,649.3,7.0,664.9,8.0,670.8,9.9,726.7,9.3,769.1,8.3,675.9,11.0,705.7,8.4,756.7,9.4
Guildford,E07000209,665.8,6.3,639.6,7.8,633.3,5.7,651.6,5.9,662.6,4.3,706.6,5.5,726.5,4.7,738.4,5.6,760.3,7.3,747.7,7.5,815.1,5.7
Mole Valley,E07000210,629.9,11.0,636.3,11.0,642.3,11.0,600.1,10.0,641.8,12.0,663.9,11.0,612.5,12.0,602.5,11.0,578.0,14.0,683.4,13.0,698.9,11.0
Reigate and Banstead,E07000211,689.9,4.9,688.7,5.8,668.7,6.5,633.4,6.6,636.5,7.2,676.7,5.8,680.3,5.9,728.6,5.6,697.4,6.9,704.7,6.5,754.2,7.9
Runnymede,E07000212,594.3,7.3,614.6,7.1,574.9,5.3,595.6,5.4,609.8,7.4,599.6,5.5,651.1,8.6,739.5,8.5,648.9,12.0,727.9,6.3,767.3,7.2
Spelthorne,E07000213,607.3,4.4,646.4,6.5,656.7,5.0,660.6,5.4,654.1,6.0,638.2,6.0,628.5,5.1,634.7,6.1,677.5,6.6,738.0,8.9,708.7,8.6
Surrey Heath,E07000214,670.9,6.0,663.7,5.9,625.0,7.9,651.7,7.4,662.4,7.0,707.1,7.0,751.9,7.2,749.1,6.6,733.1,8.1,798.3,7.1,821.4,8.5
Tandridge,E07000215,592.9,7.2,618.7,6.5,615.3,4.6,635.6,5.2,642.5,6.6,624.7,8.0,675.8,6.8,705.4,8.1,699.4,8.4,725.4,10.0,766.6,8.6
Waverley,E07000216,675.6,9.4,649.2,7.3,700.3,8.3,691.9,8.4,770.6,9.0,747.5,8.5,717.7,8.4,760.7,8.0,778.8,9.7,711.8,9.9,753.9,9.0
Woking,E07000217,585.9,7.2,620.5,8.6,623.1,7.7,608.9,8.3,632.4,7.9,660.2,8.4,684.0,7.9,689.9,6.7,666.8,8.1,699.5,6.1,736.5,7.8
Adur,E07000223,454.5,7.6,419.3,8.2,446.5,8.4,482.4,8.5,477.7,8.2,478.3,8.1,528.8,8.7,601.7,8.6,511.1,8.6,530.6,10.0,567.3,11.0
Arun,E07000224,452.2,5.5,475.1,7.4,441.7,6.2,487.8,6.2,476.2,6.0,511.7,6.0,511.7,5.5,514.1,5.9,497.2,7.9,574.5,7.0,546.5,6.4
Chichester,E07000225,530.1,7.7,526.6,8.5,487.0,8.2,542.6,6.8,577.5,8.3,583.3,6.8,586.7,9.1,658.8,7.7,520.7,10.0,654.9,7.3,645.0,8.1
Crawley,E07000226,490.9,5.8,504.5,5.6,549.0,5.2,544.5,4.2,551.4,5.8,514.4,5.1,557.2,6.2,573.9,5.1,591.6,5.4,593.9,7.0,670.7,5.2
Horsham,E07000227,575.0,8.5,611.8,8.1,610.4,6.2,627.6,6.8,624.1,6.7,596.1,6.9,648.8,7.0,648.0,7.8,648.4,11.0,669.6,8.0,702.4,7.1
Mid Sussex,E07000228,574.4,7.5,588.2,6.9,597.1,5.6,614.4,5.5,620.2,7.6,652.9,5.4,650.1,5.1,645.4,6.9,607.1,7.2,666.4,5.5,747.7,7.7
Worthing,E07000229,487.8,7.6,483.0,7.9,511.5,6.6,521.7,5.2,523.2,7.8,506.4,7.1,523.6,6.2,554.5,6.0,571.8,6.1,576.1,7.1,606.8,7.3
Bath and North East Somerset,E06000022,509.2,5.9,542.5,5.5,514.7,5.7,522.3,5.4,564.1,6.1,544.2,5.8,610.0,6.9,613.3,6.1,576.2,7.7,583.4,6.3,699.0,7.3
"Bristol, City of",E06000023,482.6,2.6,494.2,2.7,508.2,2.9,506.3,2.8,524.0,2.9,539.5,2.7,556.2,2.6,594.1,2.5,603.7,3.1,622.8,2.9,646.6,2.5
Cornwall,E06000052,416.6,3.1,422.8,2.8,450.5,3.2,440.5,3.1,467.6,3.3,479.1,3.4,474.6,3.2,504.4,2.6,493.8,4.0,517.2,2.9,571.4,3.0
Isles of Scilly,E06000053,#,-,!,!,#,-,#,-,#,-,#,-,#,-,422.3,-,#,-,#,-,#,-
North Somerset,E06000024,561.1,4.8,545.7,5.1,560.9,4.7,551.1,5.0,574.0,4.8,568.5,5.1,578.7,4.4,588.6,4.5,626.2,4.4,574.8,4.7,640.3,4.4
Plymouth,E06000026,454.4,3.6,454.7,3.1,473.6,3.6,483.9,3.1,481.9,4.0,512.8,4.0,524.7,3.4,506.2,4.0,512.7,3.9,522.0,4.3,553.4,4.0
South Gloucestershire,E06000025,505.9,4.1,513.3,3.7,546.5,3.9,540.1,3.4,549.8,3.8,572.6,2.5,567.7,4.1,597.5,3.8,602.6,4.8,613.3,3.7,653.2,3.4
Swindon,E06000030,508.4,4.2,503.4,2.9,499.3,3.4,545.2,3.9,551.8,3.7,545.8,3.8,568.4,3.8,584.8,3.0,597.6,3.1,583.1,3.6,669.5,4.5
Torbay,E06000027,408.3,5.1,424.8,5.2,433.3,5.1,421.6,5.0,442.4,4.9,477.2,4.9,471.9,5.5,506.8,7.4,466.9,5.8,542.3,5.0,559.5,6.3
Wiltshire,E06000054,501.8,3.6,503.6,4.1,509.4,3.1,517.7,3.0,519.8,3.2,553.3,2.7,560.7,3.3,564.8,3.4,571.6,3.5,608.6,3.2,642.3,2.6
East Devon,E07000040,450.8,7.0,468.2,7.3,460.8,7.9,499.3,6.2,518.9,7.0,512.9,6.2,495.6,5.8,549.5,7.4,545.9,7.2,595.5,5.6,628.4,7.3
Exeter,E07000041,443.4,6.5,453.4,6.2,440.5,6.6,473.9,6.2,525.4,6.8,507.0,5.5,526.5,5.7,570.6,5.5,557.0,6.5,591.8,6.2,628.0,7.5
Mid Devon,E07000042,440.8,6.6,439.1,6.3,442.6,6.7,478.9,5.7,497.5,6.6,511.7,7.2,505.6,6.8,547.0,5.9,529.3,7.5,596.3,7.7,598.1,7.2
North Devon,E07000043,404.5,6.1,408.0,8.0,434.4,8.0,446.8,5.4,436.9,6.7,433.3,6.4,431.1,6.3,482.9,4.7,476.6,7.1,511.6,5.1,555.4,5.8
South Hams,E07000044,489.8,8.3,492.0,5.2,541.6,6.8,498.9,7.0,529.1,6.2,530.2,6.9,538.8,7.6,537.8,8.0,576.4,9.2,582.4,5.6,613.1,8.2
Teignbridge,E07000045,454.0,7.0,465.0,7.8,449.8,4.9,440.2,6.1,466.2,5.9,459.9,5.0,476.5,5.1,521.2,5.9,483.5,5.6,535.3,5.6,530.5,6.0
Torridge,E07000046,394.4,7.0,394.5,8.8,433.4,8.5,453.9,7.0,439.5,7.6,474.0,7.1,490.9,7.9,488.9,7.4,510.7,8.5,524.6,8.3,589.7,7.2
West Devon,E07000047,497.6,11.0,478.1,14.0,504.4,8.1,475.7,9.4,482.4,9.1,497.6,8.0,497.2,12.0,506.7,9.7,487.6,11.0,535.2,11.0,585.0,11.0
"Bournemouth, Christchurch and Poole",E06000058,-,-,-,-,-,-,-,-,-,-,-,-,553.6,3.9,565.4,2.9,536.6,4.2,560.9,4.0,609.0,3.5
Dorset,E06000059,480.0,3.8,482.9,3.8,498.4,3.4,508.2,3.5,498.3,3.5,520.4,3.5,540.9,3.6,545.2,3.8,555.7,3.5,580.3,4.0,608.0,3.5
Cheltenham,E07000078,551.9,6.6,550.7,5.8,534.7,6.6,541.1,5.5,544.7,5.7,565.4,6.4,625.8,5.5,636.3,6.5,643.9,9.7,657.4,6.7,724.0,7.8
Cotswold,E07000079,489.0,7.0,484.9,9.9,508.4,6.3,530.4,8.0,549.0,8.1,609.2,8.6,613.0,7.1,615.1,8.5,575.0,6.2,601.8,7.9,669.7,11.0
Forest of Dean,E07000080,496.0,7.8,528.7,9.8,519.5,9.2,527.1,11.0,560.9,12.0,613.0,12.0,524.9,9.7,575.9,10.0,548.0,10.0,604.5,9.4,729.4,8.0
Gloucester,E07000081,446.6,4.1,479.3,4.6,472.7,4.8,471.8,4.3,499.9,4.2,502.0,3.6,506.0,4.3,549.7,5.4,515.4,7.1,532.1,5.4,569.2,6.0
Stroud,E07000082,542.8,6.3,527.0,5.8,523.2,5.7,525.1,5.7,529.0,5.6,543.5,7.0,548.3,5.2,550.1,5.1,549.7,11.0,576.0,6.0,656.9,7.2
Tewkesbury,E07000083,496.1,8.8,550.8,8.0,538.4,6.6,566.0,8.1,579.3,7.8,574.9,9.0,547.2,9.8,574.9,7.4,607.2,8.2,637.8,7.3,679.8,7.0
Mendip,E07000187,485.0,8.8,486.5,9.5,506.2,9.9,511.5,9.1,502.8,8.7,534.2,7.8,581.9,7.4,572.3,7.9,544.5,8.4,568.7,6.5,649.7,4.8
Sedgemoor,E07000188,446.5,7.2,479.9,7.0,489.9,6.5,476.1,6.9,466.1,6.1,522.2,6.8,540.5,6.6,552.9,7.3,523.1,5.5,542.0,4.3,564.0,5.7
South Somerset,E07000189,469.7,4.7,479.1,4.3,474.0,5.5,455.8,5.2,478.7,4.6,486.3,5.4,521.0,4.9,570.1,4.6,562.3,6.1,587.6,4.8,613.2,5.1
Somerset West and Taunton,E07000246,-,-,-,-,-,-,-,-,-,-,-,-,505.6,5.6,551.0,5.9,558.8,5.6,545.3,5.8,599.3,6.6
Isle of Anglesey,W06000001,453.2,5.8,446.7,5.7,445.9,6.4,481.9,5.9,472.6,6.8,496.1,6.5,490.6,7.4,535.9,8.6,534.8,8.2,586.7,6.8,589.2,5.4
Gwynedd,W06000002,427.7,8.1,450.8,7.6,445.4,7.7,434.0,7.0,445.3,8.1,431.2,6.7,473.0,7.3,479.0,5.6,499.9,8.4,518.2,7.8,539.3,8.6
Conwy,W06000003,447.6,7.3,476.3,8.2,521.9,7.1,492.0,7.1,489.2,7.3,508.1,8.0,511.4,6.9,551.3,7.2,626.1,10.0,555.1,7.7,610.0,7.5
Denbighshire,W06000004,429.7,6.5,436.0,6.8,418.0,8.0,429.9,7.6,471.7,7.7,469.7,7.6,489.5,7.4,479.8,7.9,524.3,6.3,518.9,6.2,538.8,6.0
Flintshire,W06000005,463.1,5.7,494.9,5.9,510.1,5.2,527.1,5.2,547.6,4.3,513.1,6.4,503.2,6.0,524.6,5.0,554.7,5.8,576.9,4.8,601.0,5.8
Wrexham,W06000006,464.7,5.1,492.6,4.3,472.7,5.3,488.1,3.9,500.2,5.2,486.9,5.2,531.5,5.1,579.4,4.6,560.5,4.6,574.9,3.7,616.7,4.0
Powys,W06000023,409.8,6.7,415.0,6.8,423.8,7.1,461.1,6.8,489.8,5.3,477.0,6.6,484.7,5.9,539.8,5.5,519.5,7.3,537.0,7.3,568.8,6.1
Ceredigion,W06000008,415.9,7.8,433.5,9.9,435.2,7.8,423.5,8.4,461.8,10.0,470.7,9.0,490.9,9.1,504.4,6.7,504.7,9.4,553.6,10.0,583.7,9.7
Pembrokeshire,W06000009,419.9,7.8,478.8,6.0,434.2,8.8,466.2,9.0,456.7,8.9,458.0,8.6,460.4,10.0,488.5,7.2,499.5,7.3,569.4,7.9,609.6,9.5
Carmarthenshire,W06000010,449.6,5.7,489.6,5.6,504.5,5.5,464.8,6.4,494.5,6.5,517.8,4.7,511.3,3.9,536.2,6.0,574.5,5.9,573.7,4.3,623.4,6.0
Swansea,W06000011,469.9,6.3,477.5,5.2,502.7,4.9,489.4,5.7,473.7,3.9,499.7,4.6,534.8,3.6,563.9,4.6,541.1,3.9,554.6,3.6,593.1,3.1
Neath Port Talbot,W06000012,446.2,6.3,445.9,7.1,458.9,6.0,484.4,6.2,480.8,7.0,502.0,5.8,498.4,5.7,522.9,4.3,549.4,6.4,593.8,5.1,611.0,5.2
Bridgend,W06000013,481.0,8.1,477.7,5.0,483.3,6.9,500.5,6.6,508.0,5.3,511.4,6.0,552.5,5.1,528.2,5.8,535.0,6.4,577.5,6.5,609.4,6.7
Vale of Glamorgan,W06000014,514.3,7.4,529.4,7.9,534.5,7.0,529.1,7.8,600.9,6.5,614.6,7.2,564.3,8.7,619.2,6.9,582.2,9.9,595.6,7.8,642.4,7.0
Cardiff,W06000015,495.4,3.7,503.6,4.3,496.4,4.6,519.0,4.4,534.4,4.8,539.2,3.6,536.6,4.2,582.6,3.6,550.6,3.6,574.9,3.4,627.0,3.4
Rhondda Cynon Taff,W06000016,453.1,3.8,473.6,3.9,479.5,3.8,469.0,3.8,497.3,3.5,500.0,4.0,521.6,4.3,509.8,4.0,535.8,5.1,563.8,4.1,591.9,4.5
Merthyr Tydfil,W06000024,412.6,8.0,424.5,6.8,438.5,6.5,423.2,7.8,445.8,6.8,463.3,5.2,440.6,6.9,502.8,6.8,520.7,6.6,529.3,6.1,540.6,6.7
Caerphilly,W06000018,438.3,4.5,468.2,4.6,473.1,4.5,478.7,5.2,484.7,5.0,488.8,4.2,506.8,4.9,535.5,4.9,545.1,5.4,562.1,5.1,589.5,4.8
Blaenau Gwent,W06000019,423.0,6.7,404.4,7.0,395.9,7.6,403.5,7.6,438.5,6.7,489.9,7.1,484.5,11.0,455.1,10.0,478.3,7.9,522.6,7.1,578.0,8.4
Torfaen,W06000020,418.0,5.4,446.4,6.7,468.9,5.8,485.6,5.4,491.0,6.5,507.3,7.6,520.3,6.3,523.6,7.2,555.1,9.4,550.7,7.4,594.4,6.0
Monmouthshire,W06000021,530.7,9.3,579.5,7.1,582.1,9.6,610.5,7.8,619.4,9.8,616.5,7.7,638.4,8.1,652.5,8.9,645.2,8.9,686.2,7.4,714.8,7.7
Newport,W06000022,441.4,6.0,469.6,6.1,469.6,5.6,463.2,6.4,471.2,5.5,482.0,5.3,520.7,5.1,535.2,6.0,564.9,5.7,570.3,6.0,613.7,4.7
Aberdeen City,S12000033,547.4,3.6,548.0,4.0,573.5,4.4,559.0,3.9,557.4,4.4,546.3,3.9,575.3,4.6,599.5,4.2,577.7,5.1,587.8,4.0,637.9,3.8
Aberdeenshire,S12000034,549.4,4.6,573.9,4.8,574.5,5.1,572.6,4.5,570.2,4.1,568.7,3.8,594.5,4.4,629.8,4.9,605.1,5.1,638.2,6.1,709.4,5.5
Angus,S12000041,473.1,7.4,473.1,6.4,469.3,6.9,526.0,6.3,527.9,5.7,542.1,6.2,542.5,4.8,549.9,4.2,578.3,7.7,600.0,6.9,609.4,6.5
Argyll and Bute,S12000035,463.1,11.0,461.0,7.9,472.4,8.5,488.6,6.4,470.9,8.0,464.5,5.6,483.4,8.5,528.4,8.6,555.6,7.4,564.3,7.5,586.3,7.3
Clackmannanshire,S12000005,459.1,7.9,471.0,7.1,465.4,8.2,546.5,7.6,491.1,8.7,510.4,7.9,481.4,8.6,551.8,9.8,567.9,7.5,639.0,6.6,652.5,8.5
Dumfries and Galloway,S12000006,420.4,6.6,442.7,5.3,457.6,5.3,458.2,5.4,462.0,5.8,460.0,6.6,477.3,4.9,480.8,5.5,515.8,7.3,552.2,6.9,586.4,6.0
Dundee City,S12000042,432.4,6.0,462.5,5.6,467.4,4.9,463.1,5.4,484.0,4.8,523.3,4.9,508.5,5.1,542.8,4.4,575.4,5.6,566.6,4.7,584.2,4.7
East Ayrshire,S12000008,488.4,5.6,501.3,6.7,527.1,6.0,523.7,5.2,550.1,5.7,557.7,5.6,581.6,5.9,597.8,6.6,610.4,7.4,615.1,5.9,638.6,7.4
East Dunbartonshire,S12000045,580.4,6.3,596.1,4.8,606.2,5.7,617.9,4.7,629.8,5.6,634.1,4.8,684.7,5.0,701.9,5.4,718.4,7.0,754.1,6.3,745.3,5.7
East Lothian,S12000010,512.0,5.5,544.5,6.4,538.7,6.3,557.2,4.6,565.4,7.1,595.8,5.9,596.3,6.2,664.3,6.6,596.5,7.6,594.0,8.5,652.6,7.1
East Renfrewshire,S12000011,592.7,7.9,614.6,6.8,651.4,4.7,668.6,5.2,687.7,7.2,685.4,7.8,743.7,5.0,783.4,6.0,825.7,5.7,809.4,6.9,804.9,6.3
City of Edinburgh,S12000036,537.7,3.0,562.0,2.4,562.6,2.7,555.3,2.7,559.7,2.8,583.8,3.0,578.9,3.0,617.6,3.2,639.4,3.6,635.4,4.0,654.8,2.5
Na h-Eileanan Siar,S12000013,440.1,12.0,508.8,11.0,462.1,11.0,495.5,9.5,482.0,9.8,479.8,9.6,476.8,9.3,519.3,8.5,552.1,13.0,670.7,11.0,560.9,11.0
Falkirk,S12000014,477.4,4.9,504.4,4.6,510.3,4.1,513.0,4.5,551.9,4.1,552.2,4.6,564.0,4.3,561.3,3.6,579.6,5.6,593.2,5.0,622.0,3.5
Fife,S12000047,499.5,4.1,484.5,3.3,516.2,3.8,517.3,3.7,532.3,3.4,530.5,3.7,539.1,3.7,564.6,3.2,579.4,3.8,610.6,3.4,604.0,3.2
Glasgow City,S12000049,474.3,2.7,483.9,2.6,497.1,2.5,514.9,2.5,522.2,2.8,519.7,2.4,549.7,2.7,566.9,2.5,592.5,3.2,620.4,3.1,633.8,2.8
Highland,S12000017,471.0,3.8,475.5,3.6,488.7,4.2,490.7,4.8,529.6,3.9,544.5,4.1,559.6,3.3,575.7,3.4,585.1,4.8,605.7,5.4,664.3,3.7
Inverclyde,S12000018,454.8,7.2,489.1,8.8,506.8,7.7,519.2,6.4,535.0,6.5,549.6,6.9,566.2,8.4,544.0,8.2,560.9,9.6,568.0,7.1,633.9,8.9
Midlothian,S12000019,450.4,7.6,483.4,5.8,475.2,6.0,497.3,6.3,507.0,6.6,542.1,5.3,534.0,6.4,552.5,5.0,555.9,6.6,595.2,5.9,622.9,5.8
Moray,S12000020,442.4,9.9,444.0,10.0,434.9,8.6,491.1,9.3,496.3,9.1,501.2,7.6,527.2,9.2,562.0,11.0,550.6,12.0,565.5,9.9,598.8,8.0
North Ayrshire,S12000021,453.7,7.0,484.3,6.1,507.4,4.7,480.8,5.6,521.9,5.5,564.2,4.5,563.2,4.9,552.1,4.4,598.1,6.5,624.5,4.9,634.9,4.9
North Lanarkshire,S12000050,482.8,3.6,495.1,3.4,482.6,3.6,510.8,3.2,512.0,3.1,525.8,3.0,545.7,2.7,567.2,2.8,576.9,3.8,592.7,3.9,656.6,3.1
Orkney Islands,S12000023,473.3,18.0,540.7,18.0,518.0,17.0,518.3,16.0,557.0,13.0,520.6,15.0,636.8,13.0,598.1,12.0,579.5,16.0,563.0,14.0,660.5,13.0
Perth and Kinross,S12000048,491.6,5.9,477.3,6.2,481.6,5.9,516.2,4.7,527.8,5.8,551.3,5.1,569.8,5.7,566.4,5.1,571.0,6.8,579.1,5.9,658.7,5.7
Renfrewshire,S12000038,505.4,4.4,522.0,5.6,540.1,5.0,533.0,5.8,550.6,4.8,576.2,4.9,586.9,5.0,627.0,6.0,626.9,5.8,659.2,3.9,634.8,6.0
Scottish Borders,S12000026,450.7,6.8,507.5,5.8,490.1,6.4,503.5,6.2,496.8,5.8,514.6,7.3,527.4,7.1,545.9,6.1,541.6,8.0,550.6,6.2,617.0,6.6
Shetland Islands,S12000027,541.5,10.0,564.9,11.0,520.3,12.0,592.6,7.8,637.2,10.0,607.7,8.6,661.5,9.7,598.3,10.0,642.6,11.0,670.8,12.0,671.6,12.0
South Ayrshire,S12000028,559.8,7.2,552.5,5.2,562.9,5.2,558.7,5.6,534.7,7.7,556.0,8.0,592.3,6.6,626.1,6.4,594.6,9.4,665.9,9.3,670.2,9.5
South Lanarkshire,S12000029,502.9,3.4,527.4,3.9,517.5,3.9,530.1,3.4,536.7,3.4,562.6,3.3,574.9,3.1,580.8,2.7,620.8,3.8,651.0,3.4,652.5,3.8
Stirling,S12000030,548.6,7.8,517.6,6.9,560.4,7.9,512.0,8.3,574.6,8.2,596.2,7.2,592.8,7.2,653.0,6.0,583.8,7.6,652.4,6.9,631.7,7.2
West Dunbartonshire,S12000039,479.6,8.3,498.8,6.4,481.5,6.4,500.7,7.4,517.1,7.3,512.3,6.6,518.7,6.8,520.5,4.3,566.4,7.2,650.9,9.2,616.0,5.7
West Lothian,S12000040,492.5,4.4,490.6,4.4,506.3,4.5,502.3,4.4,508.1,4.4,519.0,4.1,547.2,5.0,568.6,3.9,585.1,5.0,602.5,4.7,634.5,4.2
Column Total,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
# These figures are suppressed as statistically unreliable.,,,,,,,,,,,,,,,,,,,,,,,
! Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2).,,,,,,,,,,,,,,,,,,,,,,,
- These figures are missing.,,,,,,,,,,,,,,,,,,,,,,,
Results for 2003 and earlier exclude supplementary surveys. In 2006 there were a number of methodological changes made. For further details goto : http://www.nomisweb.co.uk/articles/341.aspx.,,,,,,,,,,,,,,,,,,,,,,,
Estimates for 2011 and subsequent years use a weighting scheme based on occupations which have been coded according to Standard Occupational Classification (SOC) 2010 that replaced SOC 2000. Therefore care should be taken when making comparisons with earlier years.,,,,,,,,,,,,,,,,,,,,,,,
