,location,agegroup,population,totalpop,percentage,weeklywage,area code,rent
0,Adur,25-39,10757,64547,0.16665375617766898,567.3,E07000223,715
1,Allerdale,25-39,15531,96156,0.16151878197928365,656.6,E07000026,395
2,Amber Valley,25-39,21981,126205,0.17416901073650015,626.8,E07000032,428
3,Arun,25-39,26685,164896,0.16182927420919851,546.5,E07000224,660
4,Ashfield,25-39,24460,126305,0.19365820830529273,564.2,E07000170,450
5,Ashford,25-39,25146,132752,0.1894208750150657,668.4,E07000105,750
6,Babergh,25-39,13753,92332,0.14895160940952215,587.5,E07000200,600
7,Barking and Dagenham,25-39,51909,218863,0.23717576748925126,638.2,E09000002,"1,050"
8,Barnet,25-39,89005,389340,0.22860481841064365,735.6,E09000003,"1,150"
9,Barnsley,25-39,48640,244576,0.19887478738715164,562.6,E08000016,425
10,Barrow-in-Furness,25-39,12827,67404,0.1903002789151979,619.8,E07000027,490
11,Basildon,25-39,39402,187576,0.2100588561436431,618.8,E07000066,775
12,Basingstoke and Deane,25-39,38846,185148,0.20981052995441485,720.0,E07000084,750
13,Bassetlaw,25-39,20976,117804,0.17805847000101865,560.7,E07000171,393
14,Bath and North East Somerset,25-39,34069,193406,0.17615275637777525,699.0,E06000022,850
15,Bedford,25-39,38745,185228,0.209174638823504,638.2,E06000055,650
16,Bexley,25-39,49701,246473,0.20164886214717231,780.6,E09000004,925
17,Birmingham,25-39,248068,1144916,0.2166691704893634,591.5,E08000025,650
18,Blaby,25-39,19851,102933,0.19285360380053043,650.5,E07000129,495
19,Blackburn with Darwen,25-39,31498,154735,0.20356092674572657,542.5,E06000008,425
20,Blackpool,25-39,26594,141033,0.18856579665751988,486.3,E06000009,412
21,Bolsover,25-39,15618,80277,0.19455136589558653,566.7,E07000033,483
22,Bolton,25-39,57751,295961,0.1951304394835806,574.1,E08000001,475
23,Boston,25-39,13728,70503,0.1947151185055955,559.6,E07000136,495
24,"Bournemouth, Christchurch and Poole",25-39,76226,400192,0.19047357268511114,609.0,E06000058,695
25,Bracknell Forest,25-39,26916,124600,0.21601926163723917,729.0,E06000036,850
26,Bradford,25-39,110795,546409,0.2027693540918982,569.6,E08000032,450
27,Braintree,25-39,28748,155267,0.1851520284413301,688.1,E07000067,675
28,Breckland,25-39,24410,141478,0.1725356592544424,593.7,E07000143,550
29,Brent,25-39,86847,339818,0.255569157607896,678.6,E09000005,"1,170"
30,Brentwood,25-39,14894,77045,0.1933155947822701,822.6,E07000068,895
31,Brighton and Hove,25-39,60926,277107,0.21986452886430152,640.5,E06000043,900
32,Broadland,25-39,21054,131722,0.15983662562062526,630.5,E07000144,575
33,Bromley,25-39,65541,329989,0.19861571143280535,803.6,E09000006,"1,039"
34,Bromsgrove,25-39,16179,99186,0.16311777871877078,748.4,E07000234,525
35,Broxbourne,25-39,20204,99005,0.20407050148982375,684.8,E07000095,850
36,Broxtowe,25-39,21566,110944,0.1943863570810499,641.5,E07000172,525
37,Buckinghamshire,25-39,100785,553081,0.18222466510330312,717.3,E06000060,800
38,Burnley,25-39,19214,94649,0.20300267303405212,572.4,E07000117,370
39,Bury,25-39,38371,193851,0.19794068640347484,598.7,E08000002,500
40,Calderdale,25-39,37953,206627,0.1836788028670019,576.9,E08000033,425
41,Cambridge,25-39,40327,145676,0.2768266564156072,748.6,E07000008,"1,000"
42,Camden,25-39,59091,210134,0.28120627789886454,771.0,E09000007,"1,550"
43,Cannock Chase,25-39,20222,100529,0.20115588536641169,574.9,E07000192,433
44,Canterbury,25-39,25413,157431,0.16142309964365342,658.8,E07000106,725
45,Carlisle,25-39,20567,110025,0.18693024312656215,577.7,E07000028,395
46,Castle Point,25-39,14834,89591,0.16557466709825763,660.6,E07000069,750
47,Central Bedfordshire,25-39,59932,294251,0.2036764530961662,739.5,E06000056,695
48,Charnwood,25-39,34364,183978,0.18678320233941015,619.6,E07000130,500
49,Chelmsford,25-39,36137,181527,0.19907231431136965,689.9,E07000070,850
50,Cheltenham,25-39,24647,118833,0.2074087164339872,724.0,E07000078,625
51,Cherwell,25-39,34818,161013,0.21624340891729238,689.9,E07000177,780
52,Cheshire East,25-39,70620,398771,0.1770941216888891,662.3,E06000049,495
53,Cheshire West and Chester,25-39,66054,357150,0.184947501049979,645.8,E06000050,550
54,Chesterfield,25-39,19187,103569,0.1852581370873524,598.5,E07000034,465
55,Chichester,25-39,18955,124068,0.15277912112712383,645.0,E07000225,750
56,Chorley,25-39,22066,117731,0.18742727064239664,649.8,E07000118,450
57,City of London,25-39,2937,8579,0.3423475929595524,#,E09000001,"1,712"
58,Colchester,25-39,38989,192716,0.20231324851076196,699.7,E07000071,675
59,Copeland,25-39,11485,67063,0.17125687786111568,706.8,E07000029,428
60,Cornwall,25-39,90906,570304,0.15939919762091798,571.4,E06000052,550
61,Cotswold,25-39,13452,90834,0.14809432591320432,669.7,E07000079,685
62,County Durham,25-39,90505,522062,0.17336063532683857,574.9,E06000047,375
63,Coventry,25-39,74104,345328,0.21459018672103045,630.6,E08000026,615
64,Craven,25-39,8124,56923,0.14271911178258348,582.0,E07000163,475
65,Crawley,25-39,28399,118495,0.23966412084898098,670.7,E07000226,830
66,Croydon,25-39,90292,390718,0.23109250149724353,760.7,E09000008,950
67,Dacorum,25-39,31080,155082,0.20041010562154216,691.1,E07000096,850
68,Darlington,25-39,19909,107807,0.18467260938529037,558.2,E06000005,395
69,Dartford,25-39,27412,116756,0.23478022542738702,732.1,E07000107,850
70,Derby,25-39,54964,261354,0.21030479732470136,599.2,E06000015,475
71,Derbyshire Dales,25-39,9337,71536,0.13052169537016328,671.4,E07000035,485
72,Doncaster,25-39,62154,308108,0.20172796551858438,594.3,E08000017,412
73,Dorset,25-39,53411,379578,0.14071152701157602,608.0,E06000059,610
74,Dover,25-39,20056,116407,0.17229204429286898,670.3,E07000108,530
75,Dudley,25-39,62024,323495,0.19173093865438415,615.4,E08000027,483
76,Ealing,25-39,90448,367122,0.2463704163738485,711.7,E09000009,"1,225"
77,East Cambridgeshire,25-39,15988,87762,0.1821745174449078,637.8,E07000009,643
78,East Devon,25-39,21891,150821,0.145145569914004,628.4,E07000040,550
79,East Hampshire,25-39,19918,125741,0.15840497530638376,696.4,E07000085,705
80,East Hertfordshire,25-39,28116,150160,0.1872402770378263,858.5,E07000242,850
81,East Lindsey,25-39,19721,142292,0.1385952829393079,553.8,E07000137,395
82,East Riding of Yorkshire,25-39,52866,342217,0.1544809287674195,633.9,E06000011,400
83,East Staffordshire,25-39,24914,124019,0.2008885735250244,600.6,E07000193,495
84,East Suffolk,25-39,36780,246055,0.1494787750706143,596.7,E07000244,445
85,Eastbourne,25-39,17688,101685,0.1739489600236023,630.6,E07000061,700
86,Eastleigh,25-39,27110,136446,0.19868665992407253,690.0,E07000086,695
87,Eden,25-39,8141,54734,0.14873753060255052,580.7,E07000030,475
88,Elmbridge,25-39,22679,138757,0.1634440064285045,810.0,E07000207,950
89,Enfield,25-39,68279,329986,0.2069148388113435,708.8,E09000010,"1,025"
90,Epping Forest,25-39,25433,134981,0.18841911083782162,767.4,E07000072,900
91,Epsom and Ewell,25-39,14388,80939,0.1777635009080913,756.7,E07000208,"1,048"
92,Erewash,25-39,21509,112902,0.19051035411241607,629.0,E07000036,490
93,Exeter,25-39,26450,130712,0.2023532651937083,628.0,E07000041,675
94,Fareham,25-39,18864,114503,0.16474677519366304,683.2,E07000087,695
95,Fenland,25-39,18887,102457,0.18434074782591722,593.8,E07000010,500
96,Folkestone and Hythe,25-39,17959,109754,0.16362957158736813,684.3,E07000112,500
97,Forest of Dean,25-39,13753,87006,0.1580695584212583,729.4,E07000080,475
98,Fylde,25-39,12502,81380,0.15362496927992136,631.0,E07000119,450
99,Gateshead,25-39,38845,196144,0.19804327432906435,566.7,E08000037,450
100,Gedling,25-39,21925,117258,0.18698084565658632,587.3,E07000173,513
101,Gloucester,25-39,27849,132409,0.21032558209789365,569.2,E07000081,580
102,Gosport,25-39,15182,81955,0.18524800195229088,619.2,E07000088,625
103,Gravesham,25-39,21680,106899,0.20280825826247206,660.9,E07000109,715
104,Great Yarmouth,25-39,17283,99743,0.173275317566145,593.0,E07000145,450
105,Greenwich,25-39,78363,289067,0.2710894014190482,746.8,E09000011,"1,200"
106,Guildford,25-39,25883,143646,0.18018601283711347,815.1,E07000209,948
107,Hackney,25-39,87095,259148,0.3360820843687777,790.1,E09000012,"1,350"
108,Halton,25-39,25018,128475,0.1947304923136797,609.5,E06000006,415
109,Hambleton,25-39,13500,90691,0.148857108202578,593.1,E07000164,470
110,Hammersmith and Fulham,25-39,57590,183161,0.3144228301876491,821.1,E09000013,"1,400"
111,Harborough,25-39,16149,97631,0.16540852802900718,653.0,E07000131,563
112,Haringey,25-39,73509,264234,0.27819659846953837,713.1,E09000014,"1,250"
113,Harlow,25-39,21627,93334,0.23171620202712837,584.7,E07000073,825
114,Harrogate,25-39,25862,162666,0.1589883565096578,651.6,E07000165,580
115,Harrow,25-39,60055,261203,0.22991696113750607,798.8,E09000015,"1,075"
116,Hart,25-39,17237,99409,0.17339476304962329,808.4,E07000089,800
117,Hartlepool,25-39,16842,92334,0.1824030151406849,593.7,E06000001,400
118,Hastings,25-39,17043,91006,0.18727336659121377,532.0,E07000062,595
119,Havant,25-39,21373,124207,0.17207564791034322,574.6,E07000090,700
120,Havering,25-39,55422,262057,0.21148834032290684,709.1,E09000016,925
121,Hertsmere,25-39,20557,107822,0.19065682328281797,644.9,E07000098,950
122,High Peak,25-39,15456,90930,0.16997690531177828,587.0,E07000037,495
123,Hillingdon,25-39,69375,305916,0.22677793904208998,761.9,E09000017,975
124,Hinckley and Bosworth,25-39,20922,113640,0.18410770855332628,612.8,E07000132,525
125,Horsham,25-39,24575,146776,0.16743200523246307,702.4,E07000227,850
126,Hounslow,25-39,71619,288181,0.24852089485427561,700.5,E09000018,"1,150"
127,Huntingdonshire,25-39,34952,180832,0.19328437444700053,642.0,E07000011,625
128,Hyndburn,25-39,16202,82236,0.19701833746777567,574.9,E07000120,395
129,Ipswich,25-39,30874,139644,0.22109077368164762,593.3,E07000202,600
130,Isle of Wight,25-39,20799,140460,0.14807774455360956,534.8,E06000046,525
131,Isles of Scilly,25-39,348,2058,0.16909620991253643,#,E06000053,500
132,Islington,25-39,75068,216587,0.3465951326718593,806.5,E09000019,"1,430"
133,Kensington and Chelsea,25-39,35710,143376,0.2490653944872224,812.8,E09000020,"1,798"
134,King's Lynn and West Norfolk,25-39,26283,154318,0.1703171373397789,585.3,E07000146,550
135,Kingston upon Thames,25-39,36251,168064,0.21569759139375477,797.2,E09000021,"1,098"
136,Kirklees,25-39,83025,433222,0.19164539196993688,613.4,E08000034,425
137,Knowsley,25-39,32627,154523,0.2111465607061732,589.1,E08000011,450
138,Lambeth,25-39,108334,317662,0.34103544018485055,785.9,E09000022,"1,350"
139,Lancaster,25-39,24663,142932,0.172550583494249,588.9,E07000121,495
140,Leeds,25-39,177868,811950,0.2190627501693454,621.3,E08000035,650
141,Leicester,25-39,82026,368569,0.22255262922275068,528.7,E06000016,545
142,Lewes,25-39,14912,99912,0.1492513411802386,670.8,E07000063,750
143,Lewisham,25-39,85940,300554,0.2859386333237954,698.4,E09000023,"1,125"
144,Lichfield,25-39,18052,106439,0.16959948890914045,706.8,E07000194,595
145,Lincoln,25-39,22135,103813,0.213219924286939,618.4,E07000138,525
146,Liverpool,25-39,108533,486093,0.22327620434772769,603.2,E08000012,525
147,Luton,25-39,52034,225259,0.230996319791884,616.5,E06000032,675
148,Maidstone,25-39,35446,175778,0.2016520838785286,615.1,E07000110,725
149,Maldon,25-39,10113,66208,0.15274589173513775,708.5,E07000074,695
150,Malvern Hills,25-39,10903,79483,0.13717398689027843,592.5,E07000235,550
151,Manchester,25-39,142636,551943,0.25842523593921835,574.9,E08000003,750
152,Mansfield,25-39,22759,110486,0.20598989917274588,540.2,E07000174,500
153,Medway,25-39,58186,279771,0.20797723852722405,601.7,E06000035,695
154,Melton,25-39,8298,51751,0.16034472763811328,641.8,E07000133,425
155,Mendip,25-39,18455,116090,0.15897148763890084,649.7,E07000187,550
156,Merton,25-39,55310,215188,0.25703106121159175,713.2,E09000024,"1,200"
157,Mid Devon,25-39,13342,82848,0.1610419080726149,598.1,E07000042,525
158,Mid Suffolk,25-39,16716,102702,0.1627621662674534,628.1,E07000203,598
159,Mid Sussex,25-39,26765,152570,0.1754276725437504,747.7,E07000228,775
160,Middlesbrough,25-39,30017,143922,0.20856436125123332,555.0,E06000002,427
161,Milton Keynes,25-39,64064,287057,0.2231751882030398,689.9,E06000042,825
162,Mole Valley,25-39,13019,87386,0.1489826745702973,698.9,E07000210,895
163,New Forest,25-39,24849,175778,0.14136581369682213,613.3,E07000091,695
164,Newark and Sherwood,25-39,21907,122954,0.17817232460920343,615.3,E07000175,450
165,Newcastle upon Tyne,25-39,64231,300131,0.21400988235137322,617.2,E08000021,578
166,Newcastle-under-Lyme,25-39,21592,123306,0.17510907822814786,567.3,E07000195,450
167,Newham,25-39,105264,351039,0.2998641176621401,710.3,E09000025,"1,325"
168,North Devon,25-39,15507,98608,0.1572590459191952,555.4,E07000043,495
169,North East Derbyshire,25-39,16925,102000,0.1659313725490196,615.7,E07000038,425
170,North East Lincolnshire,25-39,29243,156966,0.18630149204286278,556.5,E06000012,386
171,North Hertfordshire,25-39,25320,133211,0.1900743932558122,781.0,E07000099,775
172,North Kesteven,25-39,20625,118075,0.17467711200508151,601.2,E07000139,478
173,North Lincolnshire,25-39,30596,169674,0.18032226504944776,599.4,E06000013,410
174,North Norfolk,25-39,13516,102988,0.1312385909037946,578.7,E07000147,510
175,North Somerset,25-39,36199,216727,0.16702579743179208,640.3,E06000024,605
176,North Tyneside,25-39,40385,208952,0.19327405337110914,619.1,E08000022,450
177,North Warwickshire,25-39,11593,65035,0.17825786115168754,655.6,E07000218,528
178,North West Leicestershire,25-39,19483,104706,0.18607338643439728,717.2,E07000134,475
179,Northumberland,25-39,50268,320565,0.1568106312292359,601.8,E06000057,395
180,Norwich,25-39,34162,143926,0.23735808679460277,594.0,E07000148,625
181,Nottingham,25-39,69672,323627,0.21528488043333838,536.1,E06000018,595
182,Nuneaton and Bedworth,25-39,27307,134204,0.20347381598163988,594.8,E07000219,475
183,Oadby and Wigston,25-39,10202,57753,0.1766488320953024,593.9,E07000135,525
184,Oldham,25-39,47889,242081,0.1978222165308306,562.8,E08000004,508
185,Oxford,25-39,39668,162039,0.24480526293052907,681.7,E07000178,"1,050"
186,Pendle,25-39,18540,95753,0.19362317629734838,512.4,E07000122,405
187,Peterborough,25-39,49873,215676,0.23124037908714926,586.2,E06000031,595
188,Plymouth,25-39,53703,264693,0.20288787387652865,553.4,E06000026,550
189,Portsmouth,25-39,46234,208002,0.22227670887779924,621.9,E06000044,695
190,Preston,25-39,31677,147835,0.2142726688537897,574.9,E07000123,450
191,Reading,25-39,44808,174235,0.257169914196344,698.7,E06000038,850
192,Redbridge,25-39,72867,310260,0.234857861148714,724.8,E09000026,"1,050"
193,Redcar and Cleveland,25-39,22976,136536,0.16827796332102887,568.4,E06000003,412
194,Redditch,25-39,18195,87034,0.20905623089826963,537.4,E07000236,550
195,Reigate and Banstead,25-39,29808,150852,0.19759764537427413,754.2,E07000211,885
196,Ribble Valley,25-39,9370,61558,0.15221417200038986,723.2,E07000124,450
197,Richmond upon Thames,25-39,36391,195278,0.1863548377185346,835.8,E09000027,"1,225"
198,Richmondshire,25-39,8619,49764,0.1731974921630094,603.9,E07000166,450
199,Rochdale,25-39,45309,223775,0.20247570103899007,548.0,E08000005,450
200,Rochford,25-39,14030,85667,0.16377368181446764,730.9,E07000075,700
201,Rossendale,25-39,13110,70876,0.1849709351543541,574.8,E07000125,425
202,Rother,25-39,12036,93111,0.12926507072204144,610.1,E07000064,650
203,Rotherham,25-39,51429,265806,0.19348321708313582,587.7,E08000018,425
204,Rugby,25-39,23795,114366,0.2080600877883287,673.5,E07000220,595
205,Runnymede,25-39,16305,88085,0.1851052960208889,767.3,E07000212,900
206,Rushcliffe,25-39,20274,119078,0.17025815012008935,706.5,E07000176,595
207,Rushmoor,25-39,24150,99758,0.24208584775155878,666.4,E07000092,775
208,Rutland,25-39,6533,41050,0.15914738124238734,683.0,E06000017,603
209,Ryedale,25-39,8046,54709,0.14706903800106016,493.1,E07000167,475
210,Salford,25-39,71347,269927,0.2643196123396326,613.3,E08000006,699
211,Sandwell,25-39,71972,341835,0.21054602366638875,549.8,E08000028,500
212,Scarborough,25-39,17049,108736,0.15679259858740435,553.5,E07000168,425
213,Sedgemoor,25-39,21339,125354,0.17022990889800085,564.0,E07000188,525
214,Sefton,25-39,49204,279231,0.17621252654612132,589.9,E08000014,465
215,Selby,25-39,17106,91990,0.18595499510816393,613.8,E07000169,450
216,Sevenoaks,25-39,19710,120516,0.16354674897938862,731.9,E07000111,900
217,Sheffield,25-39,114435,556519,0.20562640269245075,592.6,E08000019,575
218,Shropshire,25-39,52087,323608,0.16095708387926133,637.4,E06000051,475
219,Slough,25-39,38001,158498,0.2397569685421898,657.5,E06000039,825
220,Solihull,25-39,38149,216236,0.1764229822971198,735.4,E08000029,640
221,Somerset West and Taunton,25-39,26586,157448,0.16885574919973578,599.3,E07000246,550
222,South Cambridgeshire,25-39,29506,162116,0.18200547755927854,767.7,E07000012,825
223,South Derbyshire,25-39,20966,107203,0.19557288508717108,679.4,E07000039,470
224,South Gloucestershire,25-39,59567,290423,0.20510427893107638,653.2,E06000025,775
225,South Hams,25-39,12403,88628,0.13994448706954912,613.1,E07000044,600
226,South Holland,25-39,16598,95119,0.17449720875955382,600.8,E07000140,525
227,South Kesteven,25-39,23717,143400,0.1653905160390516,632.3,E07000141,405
228,South Lakeland,25-39,15567,104449,0.14903924403297303,602.9,E07000031,575
229,South Norfolk,25-39,23958,141948,0.16878011666243978,619.0,E07000149,595
230,South Oxfordshire,25-39,27268,149080,0.18290850550040247,752.5,E07000179,825
231,South Ribble,25-39,19923,111042,0.17941859836818502,580.3,E07000126,435
232,South Somerset,25-39,28743,172675,0.16645721731576663,613.2,E07000189,510
233,South Staffordshire,25-39,18276,110474,0.16543259047377665,675.3,E07000196,558
234,South Tyneside,25-39,27903,147777,0.18881828701354067,571.0,E08000023,395
235,Southampton,25-39,59214,248912,0.2378913029504403,642.8,E06000045,660
236,Southend-on-Sea,25-39,35353,180685,0.1956609569139663,697.7,E06000033,675
237,Southwark,25-39,99759,307641,0.32427082215959513,774.2,E09000028,"1,300"
238,Spelthorne,25-39,21066,102953,0.2046176410595126,708.7,E07000213,950
239,St Albans,25-39,25924,148173,0.17495765085406922,842.2,E07000240,900
240,St. Helens,25-39,35493,183245,0.19369150590739173,612.3,E08000013,430
241,Stafford,25-39,24584,136870,0.17961569372397165,683.4,E07000197,525
242,Staffordshire Moorlands,25-39,14587,95851,0.15218411910152216,621.3,E07000198,450
243,Stevenage,25-39,20323,89501,0.227070088602362,612.5,E07000243,750
244,Stockport,25-39,57400,294776,0.19472412950850815,665.4,E08000007,600
245,Stockton-on-Tees,25-39,38105,196594,0.19382585429870697,609.4,E06000004,425
246,Stoke-on-Trent,25-39,53840,258375,0.20837929366231253,552.0,E06000021,425
247,Stratford-on-Avon,25-39,21524,134727,0.15976010747660083,732.8,E07000221,675
248,Stroud,25-39,19350,121103,0.15978134315417455,656.9,E07000082,525
249,Sunderland,25-39,52122,274166,0.19011110057410474,536.6,E08000024,425
250,Surrey Heath,25-39,16102,90460,0.17800132655317266,821.4,E07000214,800
251,Sutton,25-39,43849,209640,0.20916332760923487,696.8,E09000029,950
252,Swale,25-39,29854,151678,0.19682485264837352,663.3,E07000113,700
253,Swindon,25-39,49955,233414,0.21401886776285914,669.5,E06000030,650
254,Tameside,25-39,47257,231063,0.20451997939955768,573.8,E08000008,525
255,Tamworth,25-39,15884,78646,0.20196831370953386,639.2,E07000199,573
256,Tandridge,25-39,14581,87878,0.1659232117253465,766.6,E07000215,875
257,Teignbridge,25-39,20851,134805,0.15467527168873557,530.5,E07000045,550
258,Telford and Wrekin,25-39,36633,185523,0.19745799712165069,606.6,E06000020,500
259,Tendring,25-39,21697,148287,0.14631761381645053,603.9,E07000076,595
260,Test Valley,25-39,23824,130488,0.18257617558702716,698.0,E07000093,730
261,Tewkesbury,25-39,17414,94888,0.1835216254953208,679.8,E07000083,575
262,Thanet,25-39,24535,140585,0.1745207525696198,591.8,E07000114,575
263,Three Rivers,25-39,16581,93774,0.17681873440399257,756.0,E07000102,975
264,Thurrock,25-39,39745,175997,0.22582771297238022,702.0,E06000034,750
265,Tonbridge and Malling,25-39,23499,132196,0.17775878241399135,703.6,E07000115,800
266,Torbay,25-39,22055,139324,0.15830007751715425,559.5,E06000027,500
267,Torridge,25-39,9693,68122,0.14228883473767653,589.7,E07000046,475
268,Tower Hamlets,25-39,114957,310303,0.3704669307096612,806.9,E09000030,"1,375"
269,Trafford,25-39,44807,235063,0.19061698353207437,705.3,E08000009,695
270,Tunbridge Wells,25-39,20108,115311,0.17438058814857213,676.7,E07000116,795
271,Uttlesford,25-39,15302,91340,0.16752791767024305,759.4,E07000077,775
272,Vale of White Horse,25-39,27363,138910,0.19698365848391045,726.0,E07000180,825
273,Wakefield,25-39,72622,353375,0.20550972762645914,570.3,E08000036,475
274,Walsall,25-39,56624,284130,0.19928905782564318,571.1,E08000030,535
275,Waltham Forest,25-39,78163,278429,0.28072865973012867,754.0,E09000031,"1,100"
276,Wandsworth,25-39,115412,327506,0.35239659731424766,942.6,E09000032,"1,400"
277,Warrington,25-39,40640,210969,0.192634936886462,627.7,E06000007,500
278,Warwick,25-39,30028,148452,0.2022741357475817,739.7,E07000222,700
279,Watford,25-39,25492,102244,0.24932514377371778,644.7,E07000103,950
280,Waverley,25-39,19242,128231,0.15005731843314019,753.9,E07000216,850
281,Wealden,25-39,23418,160146,0.1462290659772957,675.7,E07000065,750
282,Welwyn Hatfield,25-39,24241,119839,0.20227972529810828,688.8,E07000241,825
283,West Berkshire,25-39,28387,161447,0.17582860009786494,686.5,E06000037,750
284,West Devon,25-39,7845,57093,0.13740738794598287,585.0,E07000047,525
285,West Lancashire,25-39,18640,117427,0.1587369174040042,577.7,E07000127,400
286,West Lindsey,25-39,15030,95152,0.15795779384563646,630.0,E07000142,395
287,West Oxfordshire,25-39,20694,114233,0.18115605823185946,676.2,E07000181,775
288,West Suffolk,25-39,37088,179951,0.20610054959405616,612.6,E07000245,675
289,Westminster,25-39,60259,204240,0.2950401488444967,865.9,E09000033,"1,700"
290,Wigan,25-39,65363,329329,0.19847325926353282,589.2,E08000010,395
291,Wiltshire,25-39,90103,510336,0.17655622962126913,642.3,E06000054,625
292,Winchester,25-39,20452,127448,0.1604732910677296,748.7,E07000094,798
293,Windsor and Maidenhead,25-39,27679,153495,0.18032509202254146,759.1,E06000040,910
294,Wirral,25-39,56845,320199,0.1775302233923279,626.2,E08000015,400
295,Woking,25-39,21604,103940,0.207850683086396,736.5,E07000217,925
296,Wokingham,25-39,32596,177499,0.18364047121392232,801.5,E06000041,825
297,Wolverhampton,25-39,54311,263730,0.20593409926819095,569.3,E08000031,475
298,Worcester,25-39,21449,103866,0.20650646024685654,643.2,E07000237,550
299,Worthing,25-39,20369,111338,0.18294742136557152,606.8,E07000229,700
300,Wychavon,25-39,21872,132495,0.1650779274689611,613.2,E07000238,550
301,Wyre,25-39,17097,111949,0.15272132846206754,577.6,E07000128,450
302,Wyre Forest,25-39,16873,101609,0.16605812477241189,612.1,E07000239,475
303,York,25-39,38397,202821,0.1893147159317822,609.2,E06000014,695
